length,count,proportion,sample
25,165781,0.005700141691230572,siLin28a
26,307474,0.010572052082985558,siLin28a
27,528290,0.01816449324144624,siLin28a
28,1661450,0.05712657308675321,siLin28a
29,3277257,0.11268377714320235,siLin28a
30,5990819,0.2059857109470702,siLin28a
31,7601934,0.26138158731931393,siLin28a
32,6019726,0.20697963664343105,siLin28a
33,3530932,0.1214060278445669,siLin28a
25,228809,0.005600421072439429,siLuc
26,353934,0.008663030876638493,siLuc
27,804537,0.019692171061265952,siLuc
28,2534777,0.06204222091235397,siLuc
29,4311243,0.10552371692375292,siLuc
30,7312786,0.17899069010677046,siLuc
31,10248482,0.25084596564521583,siLuc
32,9336279,0.22851851828281983,siLuc
33,5724831,0.1401232651187431,siLuc
